"Nation","Type","Title","Description"
"Corporate Empire","Flaw","Unhealthy Competition","Your nation isn’t dominated by a single economic mandate, but by several competing megacorps, and they’d have it no other way, unfortunately that leads to the occasional Corpo Wars as they compete over resources, patents, people and product. Don’t be too surprised if occasional ships and troops disappear virtually overnight in these little brushfire wars."
"Corporate Empire","Flaw","A Tarnished Reputation","Your reputation speaks for itself, unfortunately. Expect foreign dignitaries, military leaders, small children and forest creatures that are blind and deaf to check their pockets if you pass too near. Don’t expect anyone to agree to a deal without a Sword of Damocles in place to serve as enforcement."
"Cybernetic State","Trait","Extensive Combat Modification","The Cyberneticists practice extensive modification of their soldiers beyond the norm doing whatever they deem is fitting to increase the combat capability of the Cyborg soldiers within reason. This leads to a ‘better soldier’."
"Cybernetic State","Trait","Deep Interface","The Cyberneticists are more closely connected with their machinery than is considered natural. Their interface with technology is seamless and it would take a miracle worker to divine the difference between man and machine in many cases"
"Cybernetic State","Trait","Built-in Weaponry","Cyberneticist soldiers often have lighter weapons built into their bodies, whether in the arms or shoulder the location is irrelevant."
"Cybernetic State","Trait","Industrial Tool Implementation","The Workers often are funded by the companies to have replacement limbs specially tooled to their workplace installed, this makes them more productive, though it does have negative social connotations suggesting that the company “owns” that particular Cyborg. Company Brand installs do that you know."
"Cybernetic State","Trait","Servitor Production","Prisoners are a blight on all nations, and dealing with them can be difficult, expensive and ultimately unproductive for many nations either leading to an overly expensive execution due to legal process or them going free and re-offending. Cyberneticists simply turn them into Servitors. Productive, cheap and no chance of doing anything of their own volition ever again."
"Cybernetic State","Trait","Cyber Detonators","Enemy prisoners have long posed a logistical problem for the enemy. For some races or nations this is less of a problem. But Cyberneticists with this trait simply use prisoners as another weapon, by replacing a few kilograms of internal organs with high explosives remote wired to detonate in enemy lines they just send em right back.... to hell."
"Cybernetic State","Trait","Cybernetic Hive",":Key: A co-ordination uplink that joins the entire nation into a simulacrum of a hive mind, individuality is subsumed beneath the collective. A Hive can often demonstrate blind spots in various fields, but they can operate independently if they must."
"Cybernetic State","Trait","Defence Uplink","The Cyborg Defence Uplink is a mass integrated communications network hardened against attack leaving it largely untouched and even well protected against weapons like Ion Cannons."
"Cybernetic State","Trait","Resistance is Futile","(Requires: Defence Uplink, Servitor Production.) Unity on the battlefield is important, very important. And so those with the Defence Uplinks and Servitor Production many have seen fit to combine them, infantry units are made up of servitors mentally controlled by a Squad Leader, vehicles whose crews are Servitors slaved to the Commander. This leads to a more effective fighting unit, but an uncreative one."
"Cybernetic State","Trait","Assimilation Teams","(Requires Servitor Production) Well, we don’t need to ask everyone to join us right? Sometimes they just… do, you know?"
"Cybernetic State","Trait","Nanonic Debriefing","Your nation has developed cybernetics capable of learning the neural patterns in a brain and parsing data hidden within, a painful and time consuming practice, but rewarding."
"Cybernetic State","Trait","Does Not Belong","(Requires Cybernetic Hive) The Cybernetic nation is able to rapidly and quickly identify elements that do not belong, spies, offensive digital code, the red spoon in the blue drawer."
"Cybernetic State","Trait","Know Your Place","To each a place, and a purpose. Your nation enforces a stringent caste system, one so stringent that each member of a caste is specifically modified cybernetically for their role in society. There is some resentment, but that is an irrelevance, a triviality that is less important than the significant boosts to worker productivity and efficiency."
"Cybernetic State","Trait","Risk Adverse","Your core population is, surprisingly almost entirely unaugmented except for enhancements to the brain, including communication links, indeed, the vast majority of work and labour is performed by augmented clone bodies that are remotely piloted by the individual whose body was cloned. So while your population might be lower than your peers, it is less likely to suffer from catastrophic accidents, or even the trauma of war."
"Cybernetic State","Trait","Puppeteering","(Requires Risk Adverse) Your nation doesn’t quite approach the field of intelligence gathering like everyone else, no they prefer to abduct the more useful people and implant sequestration cybernetics deep within their brains before erasing their memories of the procedure and allowing their unwitting puppets to learn what they need normally.. Well for the lucky ones anyway. The unlucky ones are in a position to act, and the only time the victims realise this is when their masters take control of their bodies using the cybernetics to carry out a mission."
"Cybernetic State","Flaw","Rusty Bucket","Not only do Cybernetics have to worry about cuts, infections, sores etc, they have to worry about rust, static and other feedback. If you see a Cyber with a ‘nervous tick’ either he has a nervous tick or his ocular implant is shocking his nervous system due to some system failure or another.."
"Cybernetic State","Flaw","Creatively Bankrupt","The Cyborgs have put virtually everything into their self of mechanic and organic identity and have expended the limits of their ability, progress has become sluggish and difficult at the best of times. The effect of this flaw is doubled if the Cybernetic Hive trait was taken."
"Cybernetic State","Flaw","Forcible Conversion","The Cybernetic nation did not create itself, someone else did, they no longer remember if their creators exist anymore, only that they were forcibly converted, and they don’t understand enough to reverse the process, only perpetuate it. Which unfortunately, is part of their programming. The Cybernetic State is compelled to expand itself when the opportunity allows."
"Cybernetic State","Flaw","Cyber-Psychosis","There was a downside to their ascension, and it is not one that has been solved. The more extensive the augmentations, the more likely for a being to turn psychotic. And each and every individual has a different threshold."
"Cybernetic State","Flaw","AI Plague","The nation is troubled by a plague caused by one, or more, malevolent and sapient artificial intelligences that use the augmented as hosts and weapons against their creator. A situation made worse by the AI’s thought patterns being highly adaptable to the meat preventing easy detection."
"Democratic Republic","Trait","State of the Union","Your people are kept up to date on the state of the nation in an objective and factual manner this leads to the people being more engaged and better informed, they are less likely to react unpredictably to negative events."
"Democratic Republic","Trait","Strong Leadership","Being elected by the people gives the leaders of a democracy deep wells of legitimacy and popular loyalty, which can see a republic through tough times. Provided that the elected leaders are actually working on solving the issues they campaigned on (or any new problems that get the public’s attention)."
"Democratic Republic","Trait","Fair Media Laws","Your media is free, but is obliged to stick to factual information and present unbiased positions. As such, it is less prone to external interference as well as internal interference as media corporations that fail to meet the laws may find their broadcasting rights suspended."
"Democratic Republic","Trait","Volunteer Military","Staffing your military with people who actually want to be there has considerable benefits in terms of morale and professionalism. However, during a protracted war it can make recruiting enough personnel to keep up with losses difficult."
"Democratic Republic","Trait","Adaptable","Unusually for a democratic nation, as new information is made available the government is actually very quick to adapt to the changing circumstances and promote changes for the benefit of the people."
"Democratic Republic","Trait","Leader Mentality","Your nation tries to act in a way that is inspirational and encouraging not just to its people, but to its neighbours as well, and so long as it maintains this course, diplomacy and negotiation proceeds more smoothly than might be expected."
"Democratic Republic","Trait","Freedom of Expression","Knowing you won't be punished for sharing bad news or criticizing the Dear Leader has several benefits; chief among them, leadership might actually be informed about developing problems before they become unmanageably bad."
"Democratic Republic","Trait","Referenda","The people can directly vote to enact laws themselves, should the legislature refuse to act as needed. This can force through important solutions to problems that the legislature is stuck on, but can also be exploited by demagogues with an agenda."
"Democratic Republic","Trait","Mandatory Voting","Voting is not merely a right, it is a civic duty; failure to vote is therefore punishable by law. This makes voter suppression rather infeasible, but has the potential to cause resentment among people who’d rather not vote for whatever reason."
"Democratic Republic","Trait","Nation of Immigrants","(Cannot take with Closed Borders) Pick an additional Nation Type Trait from another Empire Type. Nation of Immigrants may be taken up to three times."
"Democratic Republic","Trait","XCOM","(Requires Elite Special Forces, Mechanics at Heart, Science Forum) You have had a history of less than friendly contact prior to ascending to the stars, and have a set of very special forces dedicated to dealing with the problem, apt scientists, engineers and the best special forces you can hope to have."
"Democratic Republic","Trait","Closed Borders","Your nation, while democratic and welcoming to guests, is strongly opposed to them overstaying said welcome, it fervently tracks and monitors its visitors and is quite ungentle about how it approaches reminding them their time is up and its time to go home. It isn’t unknown for innocent folks to be caught up in these sweeps, and they aren’t always seen again."
"Democratic Republic","Trait","Police Action","It’s not a war, it's a police action, or a special military operation. No reasonable person could even try and claim it's a war. You have the inclination, and enough means, to conduct small military actions without rousing major interstellar hackles, but be careful, if your victim proves unvictimlike you might find yourselves with an embarrassment instead."
"Democratic Republic","Trait","Cheques and Balances","You have an organisation that stands outside of all the others, one whose sole duty is to maintain the balance of power, to ensure that at the end of the day, those otherwise in power are kept honest. Because if not, it's that organisations duty to put them in the ground and organise the next elections."
"Democratic Republic","Trait","Strong Unions","Part of the way your nation has managed to become the way it is is due to the presence of powerful unions that have worked hard to ensure fair working rights, to the point that there are no hyper-rich classes in your nation. This leads to a more content and productive working class."
"Democratic Republic","Flaw","Corruption Coordinators","As with any kind of democratic republic, there is an unavoidable level of insipid corruption, unlike many, your corruption is virtually institutionalised, so widespread and endemic you have actually codified rules on the accepted levels of corruption, tampering and bribery."
"Democratic Republic","Flaw","Strong Fascist Factions","Your government has unfortunately developed a strong opposition whose core beliefs are the antithesis of your own, whether something as predictable as fascism or communism, to the more difficult theological extremists or even something worse."
"Democratic Republic","Flaw","Idiocracy","When you allow your people to vote for their leadership the elections may as well have a warning saying “Results may vary” because goddamn the results vary, and your people seem to be electing dumber and dumber leaders every year. Because electrolytes are what plants crave. (Cannot take with Strong Leadership)"
"Democratic Republic","Flaw","Too Long At Peace","Your nation has been the beneficiary for an exceptionally extended period of peace, on file your nation may look powerful, well equipped, or highly trained, but they are highly inexperienced, underfunded, and uncertain of their place or ability. As such they are slow to respond to threats, and by the time they adapt it might be too late. Overwhelming Interest Groups:Your nation is not entirely unified, being made up of many states or other similar entities, and all of those states have their own interests and agendas, and all of them feel the need to push the government for their own particular brand at all times. The competing interests leave your government overstretched and hesitant."
"Democratic Republic","Flaw","Ossified Political Parties","Whether due to First Past The Post voting or some other issue, the major political parties of your nation are deeply entrenched, and make voting new parties in to challenge them nearly impossible. This has lead to a great deal of resentment from people who (rightly) don’t feel represented under the current system."
"Democratic Republic","Flaw","Apathetic Citizens","Your populace simply doesn’t care enough about politics to turn out to vote very much. Even if you have mandatory voting in place, you can’t get people to care enough to properly engage with their say over the country’s future. This rather harms your legitimacy, and may be exploited by unscrupulous individuals with an agenda. Incompatible with Overengaged Populace."
"Democratic Republic","Flaw","Over Engaged Populace","Your populace cares about politics, they care about politics a lot. Unfortunately, their sheer fervor has resulted in attempts at long-term planning getting trampled under the people’s demands for action. Your people will regularly demand immediate solutions to whatever issue is in the public consciousness, Or Else. Incompatible with Apathetic Citizens."
"Gaia Collective","Trait","Preservationists","Gaian worlds are almost pure examples of raw nature and evolution at work almost entirely untouched by the outside universe, visitors are never permitted to the surface, their ships never allowed to enter their atmospheres. As such almost all Gaian worlds are beautiful green worlds and the morale of their people is high."
"Gaia Collective","Trait","Lifegivers","Gaians are incredible at preserving and creating the conditions for life, this is reflected in the incredible health of its peoples, and allows them to live longer than they otherwise might. Solar Fusion:You can create and sustain a form of pure ecologically safe fusion, and... for some reason... use it to produce solar power."
"Gaia Collective","Trait","Gen-Select Bioweapons","Your people despise any ecological damage to the point that they will not use actual normal weapons on a planetary surface but instead utilise targeted biological weapons to cleanly and painlessly remove the enemy."
"Gaia Collective","Trait","Hi-Grade Lasers","High power laser weapons more efficient than many peoples. Hi-Grade Lasers have 50% more power per mass compared to the lasers developed by other civilizations."
"Gaia Collective","Trait","Rapid Intervention","The Gaians move quickly, more quickly than they might otherwise be politically, economically or militarily motivated to do so, in order to respond to an incident where an Environment is at risk, this goes double for when Despoilers or Destroyers are present."
"Gaia Collective","Trait","Crop-Dusting","(Requires: Gen-Select Bioweapons) As a preventative measure the Gaians attempt to seed an atmosphere with Gen-select bioweapons to kill off their enemies before they ever leave their ships, however this has only a small success rate."
"Gaia Collective","Trait","The Emergency Act","The Emergency Act is when one of the Gaians environments is under threat of potential ruination, regardless of the threat, internal or external, the Emergency Act reassigns materials, supplies and ships to see off the threat whatever it may be. They hope."
"Gaia Collective","Trait","Preservation","Isolation = Preservation, and so the Gaians decide to preserve the environments by simply not interacting with them on any substantial levels and in doing so restrict themselves to life in fully enclosed Arcologies in locations to inhospitable for life on those worlds."
"Gaia Collective","Trait","Planetary Resurrection",":Key: There are some times when a world is completely lifeless and without value, and sometimes there are those Environmentalists who with the knowledge and skill can spend years turning a once lifeless world into a lush and living place once more."
"Gaia Collective","Trait","Aboreotech","(Cannot take with Ironclad Common Trait) Growing ships from the living trees of a world and using advanced technology to render them spaceborne, these works of art are.. fragile to say the least. But the integrated technology does make them lighter and cheaper, and while they cannot bear the weight of armour, they are good enough with shields."
"Gaia Collective","Trait","Connected to Nature","Your homeworld is more than nature, it is all connected, and you have the ability to very literally connect with nature, this connection goes above and beyond the simple into a near hive like connection, though it does require a physical connection."
"Gaia Collective","Trait","Celestial Manifest Destiny","(Requires Connected to Nature, Arboreotech) It turns out that semi-sapient world spirits can have a hell of an ambitious streak of their own, on learning that sooner or later even their sun can die, your world spirit has driven you less to conserve nature, and replace other biospheres with its own. And it showed you how."
"Gaia Collective","Trait","Geostorm Defence","You have learned how to turn the very environment into a weapon against hostiles who might seek to take advantage of your worlds. Continental storms that strike down enemy aircraft. Biting cold that can freeze infantry. Tornadoes, Hurricanes."
"Gaia Collective","Trait","Living World","(Requires Connected to Nature, Geostorm Defence, Celestial Manifest Destiny) Your world is not a rocky body lush with life. It is an actual living world. You don’t know how it came to be or why, whether it is some ancient living artefact, or something else, the world spirit is unlikely to elaborate. However, it is capable of independently moving itself, and even faster than light travel, if very slow FTL."
"Gaia Collective","Flaw","Resource Poor","Truthfully speaking they are not resource poor, however they cannot, and will not, utilise those resources on a larger scale due to their mandate to protect the environment."
"Gaia Collective","Flaw","Broken Environment","There comes a time for every Gaian nation where, sooner or later, they will have a world or environment trashed by outsiders, this event is highly traumatic for the Gaians who see a perfect work of nature destroyed, this can cause extreme depression for those inhabiting or defending such worlds."
"Gaia Collective","Flaw","Pyrophobia","If you get your jollies hugging trees all the time it shouldn’t surprise people you develop a phobia for fire and other defoliants."
"Gaia Collective","Flaw","Fucking PETA","For all the good points you think you’re making, all the people you’re preaching to hear is “Hur de hurr, let’s hug and fuck trees! I want a branch up my butt!” At least that is what you are pretty sure they think based on their reaction. Nobody likes a proselytiser, but damned if you won’t try anyway!"
"Gaia Collective","Flaw","Reverse Vegans","Your nation has gone past the hippy treehugger phase into an evolutionary refusal to harm plants. They’ve become obligate carnivores, and not for the native life if something foreign is on the cards."
"Gaia Collective","Flaw","Celestiopathy","(Requires Living World): Turns out that the planet is also capable of independently loving itself, which manifests in it having a rather low care for such pesky things as other lifeforms or its own biosphere. Sometimes it just wants to erupt in peace, you know? Who are they to tell it that there's a city there, it's their problem not its. And that's aside from the local sun being a little too cold so it decides to go have a spa day next to the nearest Neutron Star."
"Industrialist Nation","Trait","Forge World",":Key: You have dedicated your worlds entirely to the concept of mass industry. Mining operations work to strip every single resource of even marginal value for your forges while the forges themselves burn night and day as the megafactories churn out kilotonne after kilotonne of product."
"Industrialist Nation","Trait","Rocks Fall, Everyone Profits","You have constructed a unique mining engine, this colossus is only barely FTL capable and its throat is almost five hundred kilometres in diameter and its whole purpose is to turn asteroid fields into raw material."
"Industrialist Nation","Trait","Drop-miners","You have elite mining teams that are deployed to obtain difficult and rare raw resources potentially behind enemy lines, well armed, supplied with more alcohol than is really necessary, in a pinch these borderline alcoholics can serve as very skilled snatch teams or special forces."
"Industrialist Nation","Trait","Hyperproductive","The Industrialists are as the name might suggest, hyperproductive, unlike other nations they definitely don’t have any days off and probably don’t stop operating at night either. As such their production times are less than others might seem."
"Industrialist Nation","Trait","Industrial Heartland","Tank factories stretch to the horizon and shipyards fill the night sky with waste light."
"Industrialist Nation","Trait","Antimatter Ring","Your major planets have an orbital Station that rings the whole planet, this ring is an Antimatter Production station for power sources."
"Industrialist Nation","Trait","Robotic Production System","Machines building Machines. Oh the Irony."
"Industrialist Nation","Trait","The Factory Must Grow","Your industry is heavily standardized and modularized, to the point that any given factory is less of a single interconnected system and more of a massive chain of distinct standard manufacturing setups that each do one thing to the product which are then all combined together in a way that is easy to replicate and expand. Some would argue that's semantics, or that it's how all industry works anyway. All you know is that the Factory Must Grow."
"Industrialist Nation","Trait","Safety Switch/Bomb","For many Industrialists who trade their goods to other polities steps must be taken to ensure that said devices don’t end up turned upon for any reason. As such simple bombs or disabling devices are frequently included on traded items in the event such should occur. These devices are tamper-proof and usually placed in a critical place so that in the event an attempt is made to remove or modify the device the goods are destroyed."
"Industrialist Nation","Trait","Industrial Overtime","In times of great war there is no choice but to push the limits of industry into overtime with the people working triple-shifts and even full-day shifts when need be thus pushing the Industrialists capacity to almost double, however this is a massive drain on resources."
"Industrialist Nation","Trait","Emergency Shutdown","There it goes again, that pesky self-replicating factory has gone nuts again. Ah well, we installed that big red button this time, that’ll stop it in its tracks."
"Industrialist Nation","Trait","Export the Crappy Ones!","Quality Control is so difficult, and we have all these sub-standard hulls that people call “cursed” and “jinxed” or just plain don’t seem to work right, we’ll just export that lot to those who don’t know any better. Yes. Let’s do that."
"Industrialist Nation","Trait","Gas Extractor","You have developed orbital stations that deploy large probes into the useful layers of a Gas Giant for extracting and filtering industrial quantities of the use of your people. The only thing limiting you from more ambitious projects is the power needed to protect the Rigs."
"Industrialist Nation","Trait","EAT THE SUN (requires Gas Extractor and Antimatter Ring)","Turns out that those technologies you designed for exploiting gas giants are readily adapted to extract mass from stars. Expensive as all get out to set up, but there's a surprising amount of heavy elements in most stars. Removing them even makes the stars last longer, so you're doing everyone a favor here."
"Industrialist Nation","Trait","Go Go Unethical Rangers!","You have machinery that can function independently, or interconnect into larger more capable machinery, ranging from vehicles to starships."
"Industrialist Nation","Flaw","Rebellious Underclass","Turns out that building your nation on the backs of the citizens regardless of things like ‘feelings’ or the like makes an angry populace and sometimes it feels like your military spends more time suppressing riots than defending your nation."
"Industrialist Nation","Flaw","Resource Starved","Your nation is an absolute glutton for raw resources and struggles to meet anything like its production quotas. In emergency situations they may depend far more strongly on cannibalising existing material for the raw resources."
"Industrialist Nation","Flaw","Slave Masters","You have a cabal of dark masters that have driven your nation to their extremes, powerful and terrible with technology you don’t understand, if you fail to pay your significant tithes, you may find yourself on the brink of a terrible retribution."
"Industrialist Nation","Flaw","Enthusiastic but Inept","You aren’t a bunch of strip mining titans of industry for any sensible reason, they are that way because of how horrifically inept and wasteful they are, your spoiled resource pits, industrial waste and the like outweighs the working product."
"Industrialist Nation","Flaw","Catastrophic Construction","Your cities and mining suffer from severe overlap between the massive weight of hive cities and the undermining in the quest for ever more elusive resources, groundquakes are a common, or even daily, occurrence, and ‘the big one’ is always just around the corner, until it happens and entire lower levels of city are crushed by the weight of the city above. (Required with the Forge World trait.)"
"Industrialist Nation","Flaw","Quality Control","Industrialists, due to the high-volume nature of their work do suffer in the quality department and their ships and equipment is generally substandard to others. This can lead to all sorts of accidents as well when a particularly poorly designed piece fails at just the right moment to be a major problem."
"Risen Peoples","Trait","Simplicity of Steel","You don’t have the highly advanced technology of many other races, your lasers are crude and large units, your ballistics are simpler railguns, your missiles are little more than rockets with nuclear warheads bolted to the end. But what you lack in advancement, you make up for in numbers."
"Risen Peoples","Trait","Naturally Stealthy","While true stealth doesn’t exist without the cloaking devices employed by a handful of nations, most nations have their equipment set for the discovery of more advanced technologies and their unique signatures, the sheer crudity of your technologies have allowed for you to more ably move close enough to play your part on the battlefield with surprising efficacy."
"Risen Peoples","Trait","Birth Lack of Control?","Condoms? IUDs? Abstinence? What are these weird and strange words? What are you going to do without thirty two children to feed? Read a book or something?"
"Risen Peoples","Trait","Mysterious Benefactor","There is a rumour that a highly advanced artificial intelligence has actually turned itself to aiding your nation in its battle against the oppressors and the universe at large. When this “EmmBee” tips their hand cannot be easily predicted, and how it manifests is even less so."
"Risen Peoples","Trait","Underdogs","You were less advanced, less capable, and you still figured out how to kick your oppressors in the teeth. You are intelligent enough to come to grasp the limitations of the technology."
"Risen Peoples","Trait","Bizarre Retroengineering","You have discovered how to employ some of your oppressors technology in strange ways allowing you access to some of their advanced technology. (May take a Nation Trait that is technology from another Nation Type.)"
"Risen Peoples","Trait","Hidden Infrastructure","You have become used to concealing your infrastructure from advanced enemies, manufacturing, labs, population centres, power facilities, they’re buried, concealed and armoured as well as possible."
"Risen Peoples","Trait","Ritualistic","Your culture is built around ritual and as such your entire society is well aware of the expectations and responsibilities of every other citizen. This leads to a more stratified society that doesn’t need to ponder problems for too long."
"Risen Peoples","Trait","Willing to Burn","You have a demonstrated willingness to inflict great harm on yourselves in the efforts to supplant and destroy and enemy and so those who would otherwise anger your people are well aware that the price may very well be too high to bear."
"Risen Peoples","Trait","Charismatic","You actually did not resist your oppressors on your own, you convinced others to rise alongside you. You may take the ‘Client Race’ trait from the Benefactors up to twice."
"Risen Peoples","Trait","Accidentally Won the War","Your creators were not defeated by you, in fact you barely survived, no they fucked up and defeated themselves, the process by which they tried to uplift you had side effects. Side effects that included an extinction level pandemic. You cannot be blamed for your creators destruction, but maybe those who learn the truth will be smart enough to maintain a little distance."
"Risen Peoples","Trait","The Tables Turned","You actually haven’t wiped out your creators, they aren’t extinct at all, they now exist as third class citizens if not slaves. Much of their knowledge was lost with the brightest of them, the effects of your tech illiteracy are reduced… but you must take the Dangerous Cults flaw."
"Risen Peoples","Trait","Lessons of the Lost","Your people are surprisingly unified, however crude they seem to be, the fact your prior masters had exploited division to get to your people to begin with is something that they never intend to allow a repeat of."
"Risen Peoples","Trait","Xenonauts","(Requires Elite Special Forces, Mechanics at Heart, Science Forum) Your history didn’t allow you to rest on your laurels, and where your armies failed a set of very special forces dedicated to dealing with the problem, apt scientists, engineers and the best special forces you can hope to field freed you from the clutches of alien influence. Your special forces are not affected by Tech Illiteracy."
"Risen Peoples","Trait","Pathetic Creatures","You defeated your oppressors in an extremely unconventional manner. You engaged in the most heinous form of malicious compliance. You became the best lazy pricks you could be, you met demands with engineered ineptitude, you weaponised not giving a fuck and being too pathetic to do the job to the point your oppressors simply packed their shit and left out of sheer disgust. And that’s the kind of reputation that has helped keep slavers and the like well away."
"Risen Peoples","Flaw","Tech Illiteracy","(Mandatory flaw for all Risen Peoples) You do not truly understand the technology of your creators. You have a limited ability to copy and maintain the simpler technology, but overall you have replaced more advanced equipment with crude technology that is cheap and mass producible."
"Risen Peoples","Flaw","Belligerent Primitives","Your people are belligerent, cruel, and downright primitive, diplomacy with them is an exercise in patience that more established nations and people are unwilling to put into practice."
"Risen Peoples","Flaw","Ruined Homeworld","You have ruined your homeworld beyond any reasonable hope of recovery, while still inhabitable you simply lack anything like the terraforming technology to overcome it, and worse you lack the trust to accept help in doing so."
"Risen Peoples","Flaw","Max is Mad","There is an unhealthy individualistic streak in your people leading there to be significant warbands vying for power and leadership, it is typical for your government to suffer major upsets periodically or even change hands wholesale."
"Risen Peoples","Flaw","Genophage","You… really REALLY upset someone and they deployed a bioweapon intended to punish you that has lead to the majority of children being stillborn, as such you have been forced to adopt draconian breeding programs simply to maintain numbers let alone grow. And the slightest upset of that could lead to a catastrophic failure."
"Risen Peoples","Flaw","Children","Your status has left you to be regarded as someone that needs to be protected, from others, and from each other. More developed nations may often try to extend their hands protectively whether you like it or not and they aren't interested in whether you consent to their interference."
"Spaceborn Collective","Trait","Orbital Habitats",":Key: (All Spaceborn Collectives gain this trait free.) Your civilisation has been forced to abandon the rigours of gravity and planets, or has chosen to do so. Built to minimise the risks of a hull breach they are relatively safe and are typically very well armoured. Your civilization now exists wholly in these null or low gravity structures."
"Spaceborn Collective","Trait","Nomadic","You have forsaken the majority of your fixed infrastructure, leaving only your home system to permanently house the heaviest industry needed to produce your habitats, in exchange, those otherwise fixed orbital habitats are adapted with drives and FTL systems in order to cross the void."
"Spaceborn Collective","Trait","Homesick",":Key: (Must be a Tall Nation) Your people became spaceborn through tragic circumstances and the homeworld has been lost to you, destroyed or poisoned beyond the point of recovery, you have spent millennia building a ringworld around your home star where the vast majority of your population live instead."
"Spaceborn Collective","Trait","Greater Habitats",":Key: Your people have adopted even larger habitats than is typical, with massive populations and industrial capacity. These habitats are either placed close to a star with massive shielding to protect them, or placed in orbit of gas giants. The Greater Habitats require either to provide the power for minimum maintenance."
"Spaceborn Collective","Trait","Counter-Gravity Suits",":Key: Sometimes the nation must act on a planetary surface, and as painful as the process is, a series of drugs and counter-gravity fields built into armour can allow teams to perform actions on a planet's surface for a limited time before needing to return to have consumables replaced."
"Spaceborn Collective","Trait","Living Missiles",":Key: Inertia-countering technology that has proven near impossible to scale up is deployed on the Strike Craft of the Spaceborn collective allowing said strike craft to ignore the effects of gravity sickness that escort and capital ships have to take into account."
"Spaceborn Collective","Trait","Dwellers","The Spaceborn Collective has a well hidden facility beyond the edge of any known solar systems. It is dependent on supply from the Spaceborn but difficult to discover and attack."
"Spaceborn Collective","Trait","Orbital Supply Extraordinaires","The Spaceborn are excellent at harvesting fuels from gas giants or even solar harvesters while this is to be expected, this particular nation particularly excels at that, and has developed a degree of a shield against hostility by having an excellent reputation as traders of various fuel types, and even performing rescue missions should other craft be unfortunate enough to travel with insufficient fuel."
"Spaceborn Collective","Trait","Burrows","Dwarf planets don't count, right? Anyway, it was discovered that digging into dwarf planets is a quick and cheap way to build habitats, and even get some valuable minerals in the process. Beard not included."
"Spaceborn Collective","Trait","World-Eaters","Planets are a pain, but they're still the densest accumulations of mineral resources available. So you designed self-replicating mining robots to use solar power for tearing apart planets and mass driving chunks of said planet into orbit. They can be made to work even faster if you have a way to focus more sunlight on the collectors."
"Spaceborn Collective","Trait","Reflected Power Array","A shitton of satellites equipped with cheap reflective foil solar sails. These beauties can provide all the clean energy your industrial base could ever want!"
"Spaceborn Collective","Trait","EAT THE SUN (requires World Eaters and Reflected Power Array)","Turns out that those technologies you designed for tearing planets apart are readily adapted to extract mass from stars. Expensive as all get out to set up, but there's a surprising amount of heavy elements in most stars. Removing them even makes the stars last longer, so you're doing everyone a favor here."
"Spaceborn Collective","Trait","Persistent Bastards","It doesn't matter how shit the star system is; you can still build a home here with enough determination and radiation shielding."
"Spaceborn Collective","Trait","Extravehicular Adaptations","(Requires Cybermen or Genetic Augments) You have modified some or all of your people for vacuum, they can perform basic EVA duties without the use of complex suits, and this leads to greater chances of survival in the event of hull breaches."
"Spaceborn Collective","Trait","Modular Habitats","Your Habitats are designed with modularity in mind. This allows them to be manufactured relatively quickly, and if absolutely necessarily, disassembled for moving."
"Spaceborn Collective","Flaw","Gravity Sickness","(Spaceborn Collectives must take this flaw.) Your people can no longer handle moderate or heavier gravities, your ships cannot accelerate as fast as most others and you will never be able to survive descent to a heavy gravity world."
"Spaceborn Collective","Flaw","Pressure Vessel","Your civilisation has hurtled itself into space and forsaken the comfort of planets. This has left you in the void of space protected only by the armour and shields of your habitats, where they are less protected by a thick atmosphere. Your habitats being cracked is typically apocalyptic for the majority of their population."
"Spaceborn Collective","Flaw","Atrophied Immune Systems","As a result of living in engineered environments for so long, your people haven’t been exposed to very many pathogens. Which in turn means that if someone does get infected, it’s so much worse than normal. It gets even worse if the disease is one that can spread."
"Spaceborn Collective","Flaw","Exotic Atmosphere Mix","Your people have spent so long in the vacuum of space that, after decades of tinkering, even if they respirate the same gases as everyone else, the exact mixture is so specific and precise that they have difficulty breathing in any other combination. The same may or may not apply inversely for other species. Bring an encounter suit!"
"Spaceborn Collective","Flaw","Devalued Garden Worlds","Having such a penchant for simply building places to live means you don’t view garden worlds with the same value as others. And they get so mad if you do things like strip-mine garden worlds for habitat materials. It’s just good sense! You already know those places have all the materials needed to sustain life, so why not put them to more efficient use?"
"Spaceborn Collective","Flaw","Delicate Garden Systems","Spaceborn habitats are closed environmental systems, but ones that lack a true planet's biodiversity leaving them open for cascade failures if issues interfere with any section of the biosphere. A single problem can snowball into a nutrient failure for the life support that would kill an entire Habitat."
"Theocracy","Trait","By the light of God/s",":Key: Guided by the Gods your power, your weapons and even souls are powered by the divine light that your nation worships. This means they’re immune to conversion and deception. While they can still be infiltrated they cannot be turned against their own."
"Theocracy","Trait","His(Her) will be done","Your nation obeys the will of its god with unyielding fervour. The edicts are obeyed instantly and to the letter. The commands are followed without hesitation. There are no dissenters to God's will."
